year,month,mean wind speed
2005,1,14.5
2005,2,8.5
2005,3,8.7
2005,4,9.5
2005,5,9.2
2005,6,7.9
2005,7,6.8
2005,8,7.1
2005,9,9.1
2005,10,10.3
2005,11,10.4
2005,12,9.6
2006,1,9.6
2006,2,9
2006,3,9.8
2006,4,8.5
2006,5,9.7
2006,6,7.5
2006,7,7.4
2006,8,7.4
2006,9,8.8
2006,10,9.5
2006,11,10.2
2006,12,12.6
2007,1,12.6
2007,2,9.8
2007,3,9.5
2007,4,5.3
2007,5,8.1
2007,6,6.3
2007,7,7.9
2007,8,7.1
2007,9,6.2
2007,10,6.4
2007,11,7.3
2007,12,14.4
2008,1,14
2008,2,9.7
2008,3,13.6
2008,4,9
2008,5,7.2
2008,6,8.8
2008,7,7.7
2008,8,8.8
2008,9,8.2
2008,10,10.6
2008,11,10.4
2008,12,9.9
2009,1,11.2
2009,2,6.3
2009,3,10.2
2009,4,8.8
2009,5,10
2009,6,7.2
2009,7,8.9
2009,8,9.3
2009,9,6.5
2009,10,7.7
2009,11,13.8
2009,12,9.6
2010,1,7.2
2010,2,6
2010,3,7.8
2010,4,7.2
2010,5,7.1
2010,6,7.2
2010,7,8.1
2010,8,7.4
2010,9,8.8
2010,10,8.4
2010,11,10.1
2010,12,6.3
2011,1,6.8
2011,2,10.1
2011,3,6.2
2011,4,7
2011,5,13
2011,6,9.3
2011,7,7.6
2011,8,7.2
2011,9,12.5
2011,10,10
2011,11,11.9
2011,12,14.6
2012,1,11.6
2012,2,8.6
2012,3,8.4
2012,4,11.2
2012,5,8
2012,6,8.2
2012,7,8
2012,8,9
2012,9,8.3
2012,10,8.1
2012,11,9.9
2012,12,11.8
2013,1,10.2
2013,2,10.7
2013,3,10.1
2013,4,10.4
2013,5,10.9
2013,6,7.8
2013,7,5.9
2013,8,8.1
2013,9,7.8
2013,10,8.8
2013,11,8.3
2013,12,13.4
2014,1,13
2014,2,15.4
2014,3,9.3
2014,4,8.9
2014,5,9.1
2014,6,7
2014,7,7
2014,8,8.5
2014,9,5.7
2014,10,10.2
2014,11,8.4
2014,12,12.3
2015,1,14
2015,2,10.1
2015,3,11.4
2015,4,8
2015,5,10.3
2015,6,8.5
2015,7,9.9
2015,8,8.2
2015,9,8.1
2015,10,7.5
2015,11,13.6
2015,12,14.8
2016,1,12.4
2016,2,12.2
2016,3,9.6
2016,4,8.3
2016,5,7.4
2016,6,8.2
2016,7,8.2
2016,8,9.2
2016,9,9
2016,10,7.9
2016,11,8.1
2016,12,9.7
2017,1,8.7
2017,2,11.5
2017,3,10.9
2017,4,7.1
2017,5,7.8
2017,6,10
2017,7,7.9
2017,8,8.5
2017,9,9.5
2017,10,10.3
2017,11,9.2
2017,12,11
2018,1,13.7
2018,2,11.3
2018,3,8.7
2018,4,9.5
2018,5,7.9
2018,6,6.8
2018,7,6.9
2018,8,8.4
2018,9,8.9
2018,10,8.6
2018,11,11.1
2018,12,11.4
2019,1,9.2
2019,2,12.9
2019,3,11.4
2019,4,10.3
2019,5,8.2
2019,6,8.6
2019,7,7.8
2019,8,10.1
2019,9,9.2
2019,10,9.7
2019,11,10
2019,12,12
2020,1,11.1
2020,2,17.2
2020,3,11.3
2020,4,6.4
2020,5,8.8
2020,6,9
2020,7,9.3
2020,8,8
2020,9,8.1
2020,10,11.6
2020,11,10.3
2020,12,11.9
2021,1,8.3
2021,2,12.5
2021,3,10.2
2021,4,7.6
2021,5,9.2
2021,6,7.6
2021,7,6.3
2021,8,7.1
2021,9,6.9
2021,10,9.2
2021,11,8.6
2021,12,11
2022,1,9
2022,2,14.4
2022,3,8.4
2022,4,8.5
2022,5,9.2
2022,6,9.2
2022,7,7
2022,8,6.3
2022,9,7.7
2022,10,10.8
2022,11,13
2022,12,9.2
2023,1,10.3
2023,2,9.5
2023,3,10.7
2023,4,9.4
2023,5,7.2
2023,6,7.2
2023,7,9.9
2023,8,8.8
2023,9,8.8
2023,10,8
2023,11,11.3
2023,12,13.2
2024,1,9.6
2024,2,11
2024,3,10.7
2024,4,9.9
2024,5,7
2024,6,8.4
2024,7,7.5
2024,8,10.1
2024,9,7.7
2024,10,8.8
2024,11,8.7
2024,12,10.6
2025,1,10
2025,2,11.7
